"site","events","cooccurrence","proportion","lon","lat"
"Eastern Beach",18,1,0.0555555555555556,27.921824,-33.017976
"Fish Hoek",41,8,0.195121951219512,18.4359169,-34.13525212
"Gordons Bay",57,14,0.245614035087719,18.859076,-34.163417
"Hamburg",31,3,0.0967741935483871,27.48888889,-33.28611111
"Hermanus",30,7,0.233333333333333,19.25493,-34.414594
"Hout Bay",31,6,0.193548387096774,18.349713,-34.050165
"Humewood",37,10,0.27027027027027,25.64723969,-33.97361638
"Knysna",26,7,0.269230769230769,23.0669444444,-34.0827777778
"Kommetjie",35,4,0.114285714285714,18.32674026,-34.13667297
"Mossel Bay",26,10,0.384615384615385,22.155,-34.1833333333
"Muizenberg",46,3,0.0652173913043478,18.48363876,-34.10398726
"Nahoon Beach",17,0,0,27.950362,-32.993159
"Orient Beach",47,3,0.0638297872340425,27.91625977,-33.02406514
"Pollock Beach",20,3,0.15,25.677885,-33.99125
"Port Nolloth",64,10,0.15625,16.86710358,-29.25240668
"Sea Point",77,10,0.12987012987013,18.382165,-33.918469
"Sodwana",33,0,0,32.7333333333,-27.4247222222
"Storms River Mouth",29,11,0.379310344827586,23.899327,-34.024482
"Tsitsikamma East",36,16,0.444444444444444,23.9105555556,-34.0269444444
"Tsitsikamma West",25,7,0.28,23.64566803,-33.98066281
"Ystervarkpunt",22,5,0.227272727272727,21.73972222,-34.40277778
