"site","events","cooccurrence","proportion","lon","lat"
"Eastern Beach",25,2,0.08,27.921824,-33.017976
"Fish Hoek",25,2,0.08,18.4359169,-34.13525212
"Gordons Bay",52,9,0.173076923076923,18.859076,-34.163417
"Hamburg",22,5,0.227272727272727,27.48888889,-33.28611111
"Hermanus",36,7,0.194444444444444,19.25493,-34.414594
"Hout Bay",24,2,0.0833333333333333,18.349713,-34.050165
"Humewood",42,5,0.119047619047619,25.64723969,-33.97361638
"Knysna",23,8,0.347826086956522,23.0669444444,-34.0827777778
"Kommetjie",29,2,0.0689655172413793,18.32674026,-34.13667297
"Mossel Bay",31,10,0.32258064516129,22.155,-34.1833333333
"Muizenberg",57,5,0.087719298245614,18.48363876,-34.10398726
"Nahoon Beach",21,0,0,27.950362,-32.993159
"Orient Beach",37,6,0.162162162162162,27.91625977,-33.02406514
"Pollock Beach",19,3,0.157894736842105,25.677885,-33.99125
"Port Nolloth",56,7,0.125,16.86710358,-29.25240668
"Sea Point",69,5,0.072463768115942,18.382165,-33.918469
"Sodwana",35,0,0,32.7333333333,-27.4247222222
"Storms River Mouth",23,2,0.0869565217391304,23.899327,-34.024482
"Tsitsikamma East",39,7,0.179487179487179,23.9105555556,-34.0269444444
"Tsitsikamma West",21,2,0.0952380952380952,23.64566803,-33.98066281
"Ystervarkpunt",16,0,0,21.73972222,-34.40277778
